"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","TreePrivateMiB","PowerShellCount","PowerShellWorkingSetMiB","PowerShellPrivateMiB","ConhostCount","ConhostWorkingSetMiB","ConhostPrivateMiB"
"1","2026-07-19T02:17:16.8305881+00:00","0.3832","185.793","155.945","27","514","4","393.367","230.973","2","199.379","73.52","1","8.195","1.508"
"2","2026-07-19T02:17:17.8200394+00:00","0.5527","190.852","161.094","27","514","4","398.535","236.211","2","199.488","73.609","1","8.195","1.508"
"3","2026-07-19T02:17:18.8259578+00:00","0.0777","190.82","160.977","27","514","4","398.57","236.156","2","199.555","73.672","1","8.195","1.508"
"4","2026-07-19T02:17:19.8302178+00:00","0.4668","171.742","141.664","27","514","4","378.602","215.945","2","198.664","72.773","1","8.195","1.508"
"5","2026-07-19T02:17:20.8236430+00:00","0","171.473","141.402","27","514","4","378.402","215.684","2","198.734","72.773","1","8.195","1.508"
"6","2026-07-19T02:17:21.8293607+00:00","0.0777","170.523","140.383","28","516","4","377.516","214.738","2","198.785","72.836","1","8.195","1.508"
"7","2026-07-19T02:17:22.8220794+00:00","0.3935","170.434","140.293","28","516","4","377.453","214.699","2","198.824","72.898","1","8.195","1.508"
"8","2026-07-19T02:17:23.8157465+00:00","0.1572","170.402","140.234","27","514","4","378.93","215.797","2","200.332","74.055","1","8.195","1.508"
"9","2026-07-19T02:17:24.8235644+00:00","0.4651","170.32","140.18","28","516","4","378.867","215.652","2","200.352","73.965","1","8.195","1.508"
"10","2026-07-19T02:17:25.8159206+00:00","0.0787","170.414","140.168","26","511","4","379.008","215.703","2","200.398","74.027","1","8.195","1.508"
"11","2026-07-19T02:17:26.8183388+00:00","0.3897","171.844","141.672","26","511","4","380.484","217.27","2","200.445","74.09","1","8.195","1.508"
"12","2026-07-19T02:17:27.8266688+00:00","0","171.855","141.684","26","511","4","380.477","217.203","2","200.426","74.012","1","8.195","1.508"
"13","2026-07-19T02:17:28.8250084+00:00","0.5478","171.918","141.75","26","511","4","380.57","217.27","2","200.457","74.012","1","8.195","1.508"
"14","2026-07-19T02:17:29.8180469+00:00","0.0787","171.867","141.695","26","511","4","380.547","217.238","2","200.484","74.035","1","8.195","1.508"
"15","2026-07-19T02:17:30.8216714+00:00","0.5449","171.969","141.816","27","513","4","380.703","217.422","2","200.539","74.098","1","8.195","1.508"
"16","2026-07-19T02:17:31.8152498+00:00","0.0786","171.98","141.801","26","511","4","380.766","217.469","2","200.59","74.16","1","8.195","1.508"
"17","2026-07-19T02:17:32.8225703+00:00","0.4653","171.938","141.766","26","511","4","380.773","217.434","2","200.641","74.16","1","8.195","1.508"
"18","2026-07-19T02:17:33.8203087+00:00","0.3915","171.637","141.449","26","510","4","380.52","217.18","2","200.688","74.223","1","8.195","1.508"
"19","2026-07-19T02:17:34.8288606+00:00","0.6197","173.188","143.457","27","512","4","377.062","214.297","2","195.719","69.406","1","8.156","1.434"
"20","2026-07-19T02:17:35.8272821+00:00","0.313","171.84","141.633","26","510","4","375.703","212.398","2","195.707","69.332","1","8.156","1.434"
"21","2026-07-19T02:17:36.8186745+00:00","0.394","171.914","141.742","26","510","4","375.871","212.605","2","195.758","69.395","1","8.156","1.434"
"22","2026-07-19T02:17:37.8251426+00:00","0.3105","171.793","141.586","26","510","4","375.758","212.477","2","195.809","69.457","1","8.156","1.434"
"23","2026-07-19T02:17:38.8170954+00:00","0.0788","171.719","141.52","26","510","4","375.574","212.258","2","195.699","69.305","1","8.156","1.434"
"24","2026-07-19T02:17:39.8260464+00:00","0.3872","171.883","141.695","26","510","4","375.77","212.414","2","195.711","69.266","1","8.156","1.434"
"25","2026-07-19T02:17:40.8220926+00:00","0.3137","171.852","141.648","26","510","4","375.773","212.41","2","195.766","69.328","1","8.156","1.434"
"26","2026-07-19T02:17:41.8270130+00:00","0.4665","171.953","141.75","26","510","4","375.922","212.574","2","195.812","69.391","1","8.156","1.434"
"27","2026-07-19T02:17:42.8281152+00:00","0","171.809","141.602","26","510","4","375.809","212.449","2","195.844","69.414","1","8.156","1.434"
"28","2026-07-19T02:17:43.8228366+00:00","0.5498","172.074","141.867","26","510","4","376.117","212.715","2","195.887","69.414","1","8.156","1.434"
"29","2026-07-19T02:17:44.8192352+00:00","0","171.734","141.527","26","510","4","375.828","212.434","2","195.938","69.473","1","8.156","1.434"
"30","2026-07-19T02:17:45.8169270+00:00","0.6264","171.75","141.566","26","510","4","375.824","212.539","2","195.918","69.539","1","8.156","1.434"
