"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","TreePrivateMiB","PowerShellCount","PowerShellWorkingSetMiB","PowerShellPrivateMiB","ConhostCount","ConhostWorkingSetMiB","ConhostPrivateMiB"
"1","2026-07-19T01:37:19.7984972+00:00","0.3838","212.121","213.684","51","614","28","2080.188","889.824","18","1794.523","662.656","9","73.539","13.48"
"2","2026-07-19T01:37:20.7905972+00:00","0.1575","215.832","217.344","51","614","28","2084.77","893.973","18","1795.391","663.141","9","73.539","13.48"
"3","2026-07-19T01:37:21.7952571+00:00","0.6221","196.488","197.734","51","614","28","2065.613","874.289","18","1795.586","663.074","9","73.539","13.48"
"4","2026-07-19T01:37:22.7936035+00:00","0.4695","196.371","197.621","51","614","28","2058.141","867.5","18","1788.125","656.293","9","73.539","13.48"
"5","2026-07-19T01:37:23.7867636+00:00","0.5506","195.992","197.352","51","614","28","2058.125","867.449","18","1788.582","656.605","9","73.539","13.48"
"6","2026-07-19T01:37:24.7849400+00:00","0.1565","196.082","197.352","52","616","28","2058.715","867.898","18","1789.035","656.98","9","73.539","13.48"
"7","2026-07-19T01:37:25.7937184+00:00","0.5421","199.551","201","53","618","28","2062.516","871.977","18","1789.41","657.48","9","73.539","13.48"
"8","2026-07-19T01:37:26.7920263+00:00","0.5478","199.309","200.59","52","616","28","2053.395","861.148","18","1780.539","647.07","9","73.539","13.48"
"9","2026-07-19T01:37:27.7913360+00:00","0.86","199.242","200.473","52","615","28","2044.406","851.738","18","1771.594","637.754","9","73.539","13.48"
"10","2026-07-19T01:37:28.7956110+00:00","0.4668","199.516","200.688","50","611","28","2045.098","852.426","18","1772.039","638.254","9","73.539","13.48"
"11","2026-07-19T01:37:29.7902995+00:00","0.0785","198.242","199.336","50","611","28","2045.293","852.691","18","1772.469","638.754","9","73.539","13.48"
"12","2026-07-19T01:37:30.7900991+00:00","0.8595","198.426","199.539","50","611","28","2043.797","850.391","18","1771.781","637.312","9","73.539","13.48"
"13","2026-07-19T01:37:31.7863836+00:00","0.2352","199.941","201.141","50","611","28","2043.828","850.074","18","1771.996","637.207","9","73.539","13.48"
"14","2026-07-19T01:37:32.7925543+00:00","0.5435","199.84","201.051","51","613","28","2044.402","850.695","18","1772.426","637.645","9","73.539","13.48"
"15","2026-07-19T01:37:33.7854959+00:00","0.8655","199.977","201.215","52","615","28","2044.688","851.109","18","1772.867","638.207","9","73.539","13.48"
"16","2026-07-19T01:37:34.7918911+00:00","0.7763","200.301","201.57","50","611","28","2045.277","851.633","18","1773.336","638.645","9","73.539","13.48"
"17","2026-07-19T01:37:35.7882395+00:00","0.3921","199.953","201.188","52","614","28","2047.223","853.574","18","1773.719","638.895","9","73.539","13.48"
"18","2026-07-19T01:37:36.7943144+00:00","0.5436","200.414","201.777","51","614","28","2045.672","852.918","18","1771.969","638.176","9","73.285","12.961"
"19","2026-07-19T01:37:37.7864698+00:00","0.3937","199.68","200.82","50","612","28","2029.883","837.719","18","1756.984","624.074","9","73.207","12.812"
"20","2026-07-19T01:37:38.7936309+00:00","0","199.602","200.738","50","612","28","2029.703","837.258","18","1756.895","623.707","9","73.207","12.812"
"21","2026-07-19T01:37:39.7863162+00:00","0.6296","199.766","200.906","50","612","28","2030.32","837.805","18","1757.344","624.082","9","73.207","12.812"
"22","2026-07-19T01:37:40.7948274+00:00","0","199.609","200.746","50","612","28","2029.742","836.766","18","1756.922","623.203","9","73.207","12.812"
"23","2026-07-19T01:37:41.7942491+00:00","0.8599","199.945","201.133","52","616","28","2026.41","833.301","18","1753.254","619.352","9","73.207","12.812"
"24","2026-07-19T01:37:42.7873524+00:00","1.0227","200.051","201.258","53","618","28","2026.906","833.742","18","1753.641","619.664","9","73.207","12.812"
