"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","TreePrivateMiB","PowerShellCount","PowerShellWorkingSetMiB","PowerShellPrivateMiB","ConhostCount","ConhostWorkingSetMiB","ConhostPrivateMiB"
"1","2026-07-19T07:10:30.3754578+00:00","0.6116","212.547","240.602","72","706","49","3427.961","1375.031","32","3084.805","1110.551","16","130.477","23.691"
"2","2026-07-19T07:10:31.3652912+00:00","1.4207","212.363","240.387","71","704","49","3432.77","1378.891","32","3089.91","1114.793","16","130.477","23.691"
"3","2026-07-19T07:10:32.3621593+00:00","0.1567","212.328","240.352","71","704","49","3442.891","1387.938","32","3100.078","1123.887","16","130.477","23.691"
"4","2026-07-19T07:10:33.3710250+00:00","0.2323","212.316","240.34","71","704","49","3449.398","1392.582","32","3106.574","1128.52","16","130.477","23.691"
"5","2026-07-19T07:10:34.3707250+00:00","0.3126","212.328","240.352","71","704","49","3451.508","1393.957","32","3108.699","1129.91","16","130.477","23.691"
"6","2026-07-19T07:10:35.3686169+00:00","0.3132","212.305","240.328","71","704","49","3451.832","1394.105","32","3109.027","1130.062","16","130.477","23.691"
"7","2026-07-19T07:10:36.3689454+00:00","0.6248","212.523","240.602","73","708","49","3455.625","1397.715","32","3109.316","1130.113","16","130.477","23.691"
"8","2026-07-19T07:10:37.3593203+00:00","1.8143","215.844","243.949","74","710","49","3455.984","1397.875","32","3109.656","1130.227","16","130.477","23.691"
"9","2026-07-19T07:10:38.3774765+00:00","1.0742","215.664","243.672","71","703","49","3456.484","1398.109","32","3110.344","1130.746","16","130.477","23.691"
"10","2026-07-19T07:10:39.3631937+00:00","0.7926","215.805","243.848","72","705","49","3457.336","1399.098","32","3111.055","1131.559","16","130.477","23.691"
"11","2026-07-19T07:10:40.3641547+00:00","1.0927","215.688","243.676","71","703","49","3454.531","1396.363","32","3108.711","1129.656","16","130.133","23.031"
"12","2026-07-19T07:10:41.3668296+00:00","0.2337","215.598","243.586","71","703","49","3441.039","1383.707","32","3095.355","1117.191","16","130.082","22.926"
"13","2026-07-19T07:10:42.3612796+00:00","0.0786","215.594","243.582","71","703","49","3437.477","1380.5","32","3091.789","1113.98","16","130.082","22.926"
"14","2026-07-19T07:10:43.3638426+00:00","0.1559","215.594","243.582","71","703","49","3437.961","1381.113","32","3092.281","1114.602","16","130.082","22.926"
"15","2026-07-19T07:10:44.3662531+00:00","0","215.59","243.578","71","703","49","3438.254","1381.242","32","3092.582","1114.738","16","130.082","22.926"
"16","2026-07-19T07:10:45.3733255+00:00","0.6206","215.75","243.773","72","705","49","3438.297","1381.215","32","3092.453","1114.504","16","130.082","22.926"
"17","2026-07-19T07:10:46.3635314+00:00","1.8935","216.652","244.715","74","711","49","3438.43","1381.004","32","3092.449","1114.09","16","130.082","22.926"
"18","2026-07-19T07:10:47.3701268+00:00","1.1642","215.551","243.539","71","703","49","3435.062","1378.871","32","3089.402","1112.379","16","130.082","22.926"
"19","2026-07-19T07:10:48.3692729+00:00","1.0165","216.645","244.723","74","707","49","3437.852","1381.672","32","3089.895","1112.812","16","130.082","22.926"
"20","2026-07-19T07:10:49.3748915+00:00","1.5538","215.609","243.574","71","703","49","3436.359","1379.895","32","3090.648","1113.375","16","130.082","22.926"
"21","2026-07-19T07:10:50.3767941+00:00","0.3899","215.598","243.562","71","703","49","3437.035","1380.543","32","3091.344","1114.043","16","130.082","22.926"
"22","2026-07-19T07:10:51.3611146+00:00","0.4762","215.609","243.574","71","703","49","3437.738","1381.324","32","3092.035","1114.812","16","130.082","22.926"
"23","2026-07-19T07:10:52.3626562+00:00","0.234","215.598","243.562","71","703","49","3438.5","1382.07","32","3092.801","1115.562","16","130.082","22.926"
"24","2026-07-19T07:10:53.3643431+00:00","0.39","215.59","243.555","71","703","49","3439.219","1382.68","32","3093.535","1116.188","16","130.082","22.926"
"25","2026-07-19T07:10:54.3713597+00:00","0.931","215.684","243.703","73","707","49","3440.387","1383.941","32","3094.344","1116.988","16","130.082","22.926"
"26","2026-07-19T07:10:55.3612261+00:00","2.2888","215.953","244.02","74","709","49","3441.098","1384.77","32","3095.035","1117.797","16","130.082","22.926"
"27","2026-07-19T07:10:56.3620672+00:00","0.6245","215.566","243.531","71","703","49","3441.367","1385.027","32","3095.715","1118.566","16","130.082","22.926"
"28","2026-07-19T07:10:57.3649207+00:00","1.1685","215.891","243.957","74","709","49","3442.414","1386.246","32","3096.305","1119.227","16","130.082","22.926"
"29","2026-07-19T07:10:58.3705164+00:00","0.6992","215.516","243.477","71","703","49","3442.719","1386.512","32","3097.074","1120.062","16","130.082","22.926"
"30","2026-07-19T07:10:59.3636514+00:00","0.1573","215.523","243.484","71","703","49","3443.414","1387.289","32","3097.805","1120.875","16","130.082","22.926"
