"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","PowerShellCount","PowerShellWorkingSetMiB"
"1","2026-07-18T10:44:17.1072012+00:00","0.0777","182.832","152.316","27","512","4","386.762","2","195.684"
"2","2026-07-18T10:44:18.1935792+00:00","0.3596","184.156","153.777","27","512","4","388.109","2","195.707"
"3","2026-07-18T10:44:19.2502584+00:00","0.0739","184.098","153.629","27","512","4","388.457","2","196.113"
"4","2026-07-18T10:44:20.2930648+00:00","0.5993","165.211","134.637","27","512","4","369.559","2","196.102"
"5","2026-07-18T10:44:21.3299604+00:00","0","165.219","134.594","27","512","4","369.609","2","196.145"
"6","2026-07-18T10:44:22.3683000+00:00","0.4514","165.82","135.871","28","514","4","370.219","2","196.152"
"7","2026-07-18T10:44:23.4548607+00:00","0.2876","166.023","136.016","27","512","4","370.586","2","196.316"
"8","2026-07-18T10:44:24.4937839+00:00","0.6768","165.914","135.832","27","512","4","369.43","2","195.27"
"9","2026-07-18T10:44:25.5350583+00:00","0.075","165.613","135.566","27","512","4","369.496","2","195.637"
"10","2026-07-18T10:44:26.5751239+00:00","0.1502","165.566","135.422","26","509","4","369.465","2","195.652"
"11","2026-07-18T10:44:27.6310166+00:00","0.5179","164.434","134.133","26","509","4","368.336","2","195.656"
"12","2026-07-18T10:44:28.6698127+00:00","0.2256","164.434","134.133","26","509","4","368.387","2","195.707"
"13","2026-07-18T10:44:29.7276589+00:00","0","164.434","134.133","26","509","4","368.379","2","195.699"
"14","2026-07-18T10:44:30.7623327+00:00","0.2265","164.434","134.133","26","509","4","368.398","2","195.719"
"15","2026-07-18T10:44:31.7894983+00:00","0.0761","164.434","134.133","26","509","4","368.363","2","195.684"
"16","2026-07-18T10:44:32.8233742+00:00","0.3778","164.414","134.109","26","509","4","368.355","2","195.695"
"17","2026-07-18T10:44:33.8627537+00:00","0.0752","164.43","134.117","26","508","4","368.379","2","195.703"
"18","2026-07-18T10:44:34.8869947+00:00","0.2288","164.414","134.102","26","508","4","368.516","2","195.723"
"19","2026-07-18T10:44:35.9259643+00:00","0.1504","164.453","134.117","26","508","4","363.148","2","190.488"
"20","2026-07-18T10:44:36.9531625+00:00","0.1521","164.438","134.102","26","508","4","363.141","2","190.496"
"21","2026-07-18T10:44:37.9939338+00:00","0.1501","164.453","134.117","26","508","4","363.195","2","190.535"
"22","2026-07-18T10:44:39.0279278+00:00","0.0756","164.453","134.117","26","508","4","364.113","2","191.453"
"23","2026-07-18T10:44:40.0545448+00:00","0.0761","164.438","134.102","26","508","4","364.059","2","191.414"
"24","2026-07-18T10:44:41.0774502+00:00","0.2291","164.512","134.207","27","510","4","364.141","2","191.422"
"25","2026-07-18T10:44:42.1157200+00:00","0.0752","164.508","134.199","27","510","4","364.152","2","191.438"
"26","2026-07-18T10:44:43.1710336+00:00","0","164.449","134.109","26","508","4","364.102","2","191.445"
"27","2026-07-18T10:44:44.2114138+00:00","0","167.805","137.496","27","510","4","367.527","2","191.516"
"28","2026-07-18T10:44:45.2648418+00:00","0.2225","167.707","137.363","26","508","4","367.344","2","191.43"
"29","2026-07-18T10:44:46.3055949+00:00","0.0751","167.703","137.367","26","508","4","367.348","2","191.438"
"30","2026-07-18T10:44:47.3488130+00:00","0.1498","167.703","137.355","26","508","4","367.363","2","191.453"
