"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","PowerShellCount","PowerShellWorkingSetMiB"
"1","2026-07-18T10:57:03.8082745+00:00","0.5448","202.164","204.242","51","618","28","2060.602","18","1784.672"
"2","2026-07-18T10:57:05.0154107+00:00","0.453","185.477","187.508","51","618","28","2044.426","18","1785.184"
"3","2026-07-18T10:57:06.2029737+00:00","0.1316","185.793","187.645","51","618","28","2046.59","18","1787.023"
"4","2026-07-18T10:57:07.3922447+00:00","0.3285","187.07","188.801","51","618","28","2048.637","18","1786.535"
"5","2026-07-18T10:57:08.5358404+00:00","0.6148","188.797","190.746","52","620","28","2049.355","18","1786.793"
"6","2026-07-18T10:57:09.6980790+00:00","0.3361","188.383","190.5","53","622","28","2048.832","18","1786.695"
"7","2026-07-18T10:57:10.8636243+00:00","1.4076","193.363","194.965","51","618","28","2029.516","18","1762.305"
"8","2026-07-18T10:57:12.0265275+00:00","1.5452","189.883","191.164","52","619","28","2010.016","18","1746.199"
"9","2026-07-18T10:57:13.1701254+00:00","0.4782","189.113","190.344","50","615","28","2009.477","18","1746.43"
"10","2026-07-18T10:57:14.4102174+00:00","0","189.199","190.43","50","615","28","2009.422","18","1746.289"
"11","2026-07-18T10:57:15.6117473+00:00","0.3901","189.414","190.723","50","615","28","2010.25","18","1746.898"
"12","2026-07-18T10:57:16.7600619+00:00","0.3402","189.344","190.57","50","615","28","2010.281","18","1746.996"
"13","2026-07-18T10:57:17.9033496+00:00","1.23","194.098","195.203","51","616","28","2015.277","18","1747.184"
"14","2026-07-18T10:57:19.0651524+00:00","1.2776","190.645","191.676","52","619","28","2011.824","18","1747.246"
"15","2026-07-18T10:57:20.2100077+00:00","0.4777","188.68","189.668","51","616","28","2010.02","18","1747.406"
"16","2026-07-18T10:57:21.3926216+00:00","0.7267","191.566","196.609","55","631","30","2103.336","19","1830.027"
"17","2026-07-18T10:57:22.5373905+00:00","0.4095","191.348","196.188","53","627","30","2113.109","19","1840.02"
"18","2026-07-18T10:57:23.7301880+00:00","0.5895","191.387","196.262","53","627","30","2113.902","19","1840.77"
"19","2026-07-18T10:57:24.9499365+00:00","0.1922","191.496","196.379","53","627","30","2116.828","19","1843.59"
"20","2026-07-18T10:57:26.1134038+00:00","0.4029","191.492","196.41","53","627","30","2122.289","19","1849.055"
"21","2026-07-18T10:57:27.2841484+00:00","0.3337","190.367","195.344","55","631","30","2121.434","19","1849.324"
"22","2026-07-18T10:57:28.4321204+00:00","0.7486","190.461","195.367","55","631","30","2121.68","19","1849.477"
"23","2026-07-18T10:57:29.5988530+00:00","0.1339","191.547","196.402","54","629","30","2122.887","19","1849.598"
"24","2026-07-18T10:57:30.7791917+00:00","1.2576","191.773","196.59","53","627","30","2123.254","19","1849.738"
"25","2026-07-18T10:57:31.9561853+00:00","0.9957","191.566","196.336","53","627","30","2122.617","19","1849.309"
"26","2026-07-18T10:57:33.1290064+00:00","0.3331","191.492","196.262","53","627","30","2121.938","19","1848.703"
"27","2026-07-18T10:57:34.3523904+00:00","0.1277","191.523","196.312","53","627","33","2193.586","19","1853.156"
"28","2026-07-18T10:57:35.5601617+00:00","0.7762","191.492","196.297","54","629","37","2244.398","19","1853.219"
"29","2026-07-18T10:57:36.8026376+00:00","2.2007","191.68","196.559","55","631","38","2278.375","19","1853.285"
"30","2026-07-18T10:57:38.0260066+00:00","0.9579","194.277","198.91","51","618","28","2015.746","18","1747.875"
"31","2026-07-18T10:57:39.1709157+00:00","0.8188","194.059","194.91","52","622","28","2015.613","18","1747.957"
"32","2026-07-18T10:57:40.4270667+00:00","0.4354","193.672","194.449","50","618","28","2015.211","18","1747.945"
"33","2026-07-18T10:57:41.5439528+00:00","0.2798","195.117","195.824","50","618","28","2016.953","18","1748.172"
"34","2026-07-18T10:57:42.6618895+00:00","0.1398","195.125","195.832","50","618","28","2017.121","18","1748.402"
"35","2026-07-18T10:57:43.7936371+00:00","0.3452","195.16","195.867","50","618","28","2017.281","18","1748.523"
"36","2026-07-18T10:57:44.8971405+00:00","0.354","201.863","202.734","51","620","28","2024.145","18","1748.688"
"37","2026-07-18T10:57:46.0323632+00:00","0.3441","205.32","206.227","52","620","28","2027.711","18","1748.797"
"38","2026-07-18T10:57:47.1769098+00:00","0.1365","204.875","205.598","50","618","28","2027.379","18","1748.91"
"39","2026-07-18T10:57:48.2925585+00:00","0.3501","205.18","205.957","52","622","28","2027.812","18","1749.039"
"40","2026-07-18T10:57:49.4126408+00:00","0.2092","204.852","205.527","47","611","28","2027.613","18","1749.168"
"41","2026-07-18T10:57:50.5323550+00:00","0.1395","204.867","205.543","47","611","28","2027.785","18","1749.324"
"42","2026-07-18T10:57:51.6630009+00:00","0.6219","205.887","206.547","47","611","28","2028.375","18","1748.895"
"43","2026-07-18T10:57:52.7690404+00:00","0.0706","204.711","205.371","47","611","28","2027.328","18","1748.992"
"44","2026-07-18T10:57:53.8697925+00:00","0.3549","204.789","205.477","48","613","28","2029.43","18","1751.047"
"45","2026-07-18T10:57:54.9990450+00:00","0.6918","204.973","205.688","49","615","28","2033.098","18","1754.531"
"46","2026-07-18T10:57:56.1151097+00:00","0.49","204.863","205.492","47","611","28","2042.055","18","1763.598"
"47","2026-07-18T10:57:57.2287057+00:00","0.4209","205.105","205.789","49","613","28","2043.008","18","1764.309"
"48","2026-07-18T10:57:58.3449027+00:00","0.35","204.875","205.504","47","611","28","2042.895","18","1764.426"
