"Sample","TimestampUtc","AppCpuPercent","AppWorkingSetMiB","AppPrivateMiB","AppThreads","AppHandles","TreeProcessCount","TreeWorkingSetMiB","TreePrivateMiB","PowerShellCount","PowerShellWorkingSetMiB","PowerShellPrivateMiB","ConhostCount","ConhostWorkingSetMiB","ConhostPrivateMiB"
"1","2026-07-19T04:43:44.7747853+00:00","0.3863","186.742","156.754","27","512","4","411.965","233.234","2","217.023","74.957","1","8.199","1.523"
"2","2026-07-19T04:43:45.7772747+00:00","0.5455","190.059","160.133","27","512","4","415.375","236.719","2","217.117","75.062","1","8.199","1.523"
"3","2026-07-19T04:43:46.7699409+00:00","0.2361","190.016","160.023","27","512","4","415.391","236.609","2","217.176","75.062","1","8.199","1.523"
"4","2026-07-19T04:43:47.7824241+00:00","0.463","172.855","142.875","27","512","4","398.23","219.453","2","217.176","75.055","1","8.199","1.523"
"5","2026-07-19T04:43:48.7757893+00:00","0","171.031","140.699","27","512","4","395.562","216.805","2","216.332","74.582","1","8.199","1.523"
"6","2026-07-19T04:43:49.7713805+00:00","0.4708","170.875","140.629","27","512","4","395.457","216.75","2","216.379","74.582","1","8.199","1.523"
"7","2026-07-19T04:43:50.7819005+00:00","0","170.895","140.559","27","512","4","395.523","216.727","2","216.43","74.645","1","8.199","1.523"
"8","2026-07-19T04:43:51.7776463+00:00","0.0785","172.609","142.332","27","512","4","396.984","217.605","2","217.797","75.445","1","8.199","1.523"
"9","2026-07-19T04:43:52.7778512+00:00","0.3905","172.617","142.379","27","512","4","397.184","217.566","2","218.004","75.414","1","8.199","1.523"
"10","2026-07-19T04:43:53.7819868+00:00","0.1556","172.508","142.152","26","509","4","398.758","219.152","2","218.051","75.477","1","8.199","1.523"
